id,name_ar,name_en,location,created_at,updated_at
1,جامعة عين شمس,Univ. Ain Syams,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
2,جامعة الأزهر الشريف,Univ. Al-Azhar,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
3,الجامعة الأمريكية المفتوحة,Univ. American Open,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
4,الجامعة الأمريكية,American University in Cairo,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
6,جامعة القاهرة,Universitas Cairo,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
8,معهد البحوث والدراسات العربية,Inst. Studi Arab Alesco,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
9,المعهد العالي للدراسات الإسلامية,Inst. Studi Islam Zamalek,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
13,دار الإفتاء المصرية,Darul Ifta`,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
14,مدرسة رمسيس للغات,Ramsis Course Center,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
15,مركز النيل لتعليم اللغة العربية,El-Nil Center,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
16,كيد قارنير,Kids Corner,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
17,المنارة,Manara School,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
18,أورمان,Orman School,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
20,جامعة 6 أكتوبر,Univ. 6 Oktober,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
21,مدرسة العبيد,Madrasah Abid,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
22,المدرسة الإندونيسية بالقاهرة,Sekolah Indonesia Cairo,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
23,مدارس العلا الحديثة,El-Ola Modern School,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
24,مدارس الألسن الحديثة,El-Alsun Modern School,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
25,مدارس المستقبل للغات,Future Language School,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
26,مدارس المنهل الحديثة,El-Manhal Modern School,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
27,مدارس مدينة نصر الخاصة,Madinat Nasr El-Khassah,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
28,-,Cairo International School,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
29,-,International School Egypt 2000,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
30,-,Root School,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
31,-,Ar-Ridwan,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
32,-,Pakistan International School,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
33,-,Univ. Helwan,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
34,-,Ibrahimia School,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
35,-,Fajar Center,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
36,-,Univ. Tanta,Tanta,2022-01-22 10:00:00,2022-01-22 10:00:00
37,-,Univ. Zagazig,Zagazig,2022-01-22 10:00:00,2022-01-22 10:00:00
38,-,Univ. Suez Canal,Ismailiyah,2022-01-22 10:00:00,2022-01-22 10:00:00
39,-,Al Quds International,Alexandria,2022-01-22 10:00:00,2022-01-22 10:00:00
40,-,British University in Cairo,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
41,-,Misr University for Science & Technology,6 Oktober,2022-01-22 10:00:00,2022-01-22 10:00:00
42,-,Lisanul Arab,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
43,-,Iqro,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
44,--,Lain-Lain,-,2022-01-22 10:00:00,2022-01-22 10:00:00
45,-,TK ABA Aisyiyah,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
46,-,Lisanussalam,Cairo,2022-01-22 10:00:00,2022-01-22 10:00:00
47,-,Ma'had Aidhoh,,2022-01-22 10:00:00,2022-01-22 10:00:00
48,-,Ma'had Imam Syafii,Mansurah,2022-01-22 10:00:00,2022-01-22 10:00:00
