id,fakultas_id,jenjang_id,name_ar,name_en,created_at,updated_at
1,13,4,قسم اسلامى,Syariah Islamiah,2022-01-22 00:00:00,2022-01-22 00:00:00
2,13,4,قسم قانون,Syariah dan Hukum,2022-01-22 00:00:00,2022-01-22 00:00:00
3,16,4,قسم الحديث,Hadits,2022-01-22 00:00:00,2022-01-22 00:00:00
4,16,4,قسم التفسير,Tafsir,2022-01-22 00:00:00,2022-01-22 00:00:00
5,16,4,قسم الدعوة الإسلامية,Dakwah,2022-01-22 00:00:00,2022-01-22 00:00:00
6,16,4,قسم العقيدة والفلسفة,Akidah Filsafat,2022-01-22 00:00:00,2022-01-22 00:00:00
7,2,4,شعبة عامة,Umum,2022-01-22 00:00:00,2022-01-22 00:00:00
8,2,4,قسم اللغة والترجمة,Bahasa dan Terjemah,2022-01-22 00:00:00,2022-01-22 00:00:00
9,2,4,قسم الحضارة الإسلامية,Sejarah & Peradaban Islam,2022-01-22 00:00:00,2022-01-22 00:00:00
10,13,4,قسم أصول الفقه,Ushul Fiqh,2022-01-22 00:00:00,2022-01-22 00:00:00
11,13,4,قسم السياسة الشرعية,Siyasah Syar`iyah,2022-01-22 00:00:00,2022-01-22 00:00:00
12,13,4,قسم الفقه المقارن,Fiqh Muqarin,2022-01-22 00:00:00,2022-01-22 00:00:00
13,13,4,قسم الفقه العام,Fiqh `Am,2022-01-22 00:00:00,2022-01-22 00:00:00
14,4,4,قسم تحقيق التراث,Filologi,2022-01-22 00:00:00,2022-01-22 00:00:00
15,22,4,قسم علم النفس,Psikologi,2022-01-22 00:00:00,2022-01-22 00:00:00
16,2,4,علم البلاغة,Balaghah,2022-01-22 00:00:00,2022-01-22 00:00:00
17,28,4,ميكروبيولوجى,Mikrobiologi,2022-01-22 00:00:00,2022-01-22 00:00:00
18,2,4,,Linguistik,2022-01-22 00:00:00,2022-01-22 00:00:00
19,16,4,,Tasawuf,2022-01-22 00:00:00,2022-01-22 00:00:00
20,16,4,,Umum,2022-01-22 00:00:00,2022-01-22 00:00:00
21,13,4,,Syariah,2022-01-22 00:00:00,2022-01-22 00:00:00
22,16,4,,Filsafat Islam,2022-01-22 00:00:00,2022-01-22 00:00:00
23,4,4,أصول الدين,Ushuluddin,2022-01-22 00:00:00,2022-01-22 00:00:00
24,5,4,قسم الإقتصادية,Ekonomi,2022-01-22 00:00:00,2022-01-22 00:00:00
25,2,4,اللغة العربية,Bahasa Arab,2022-01-22 00:00:00,2022-01-22 00:00:00
26,37,4,,Bahasa Inggris,2022-01-22 00:00:00,2022-01-22 00:00:00
27,5,4,,Urban Design,2022-01-22 00:00:00,2022-01-22 00:00:00
28,4,4,الأدب والنقد,Sastra dan Kritik Sastra,2022-01-22 00:00:00,2022-01-22 00:00:00
