id,tingkat,created_at,updated_at
2,2,2022-01-22 00:00:00,2022-01-22 00:00:00
3,3,2022-01-22 00:00:00,2022-01-22 00:00:00
4,4,2022-01-22 00:00:00,2022-01-22 00:00:00
5,5,2022-01-22 00:00:00,2022-01-22 00:00:00
6,6,2022-01-22 00:00:00,2022-01-22 00:00:00
7,Tamhidi 1,2022-01-22 00:00:00,2022-01-22 00:00:00
8,Tamhidi 2,2022-01-22 00:00:00,2022-01-22 00:00:00
9,Tamhidi 3,2022-01-22 00:00:00,2022-01-22 00:00:00
10,Tesis,2022-01-22 00:00:00,2022-01-22 00:00:00
11,Disertasi,2022-01-22 00:00:00,2022-01-22 00:00:00
12,Dirasah Khassah,2022-01-22 00:00:00,2022-01-22 00:00:00
13,Kursus,2022-01-22 00:00:00,2022-01-22 00:00:00
14,Lc,2022-01-22 00:00:00,2022-01-22 00:00:00
15,MA,2022-01-22 00:00:00,2022-01-22 00:00:00
16,Doktor,2022-01-22 00:00:00,2022-01-22 00:00:00
17,Pulang,2022-01-22 00:00:00,2022-01-22 00:00:00
18,-,2022-01-22 00:00:00,2022-01-22 00:00:00
19,TK,2022-01-22 00:00:00,2022-01-22 00:00:00
20,Diploma,2022-01-22 00:00:00,2022-01-22 00:00:00
22,Daurah Lughoh,2022-01-22 00:00:00,2022-01-22 00:00:00
23,Dalam Proses,2022-01-22 00:00:00,2022-01-22 00:00:00
24,Sandwich,2022-01-22 00:00:00,2022-01-22 00:00:00
25,Internship,2022-01-22 00:00:00,2022-01-22 00:00:00
26,Kelas Bahasa,2022-01-22 00:00:00,2022-01-22 00:00:00
